username,full_name,twitter_url,tweet_text,tweet_time,number_of_likes,no_of_retweets,no_of_replies,mentions,no_of_mentions,hashtags,no_of_hashtags,call_to_action,image_url
tomthunkitsmind,Tomthunkit™,https://twitter.com/TomthunkitsMind/status/1255359719889408001,"""PANIC PANIC PANIC PANIC PANIC

People are gradually changing to zombies

 #coronavirus Impact https",2020-04-28 21:54:00,8,6,1,,0,coronavirus,1,,https://pbs.twimg.com/profile_images/1225737539513765888/o8-xz47w_normal.jpg
teamtrump,Team Trump (Text TRUMP to 88022),https://twitter.com/TeamTrump/status/1255317413832404995,"""Thanks to President @realDonaldTrump the U.S. has a ventilator surplus and we will be sending ventilators to other countries battling #Coronavirus! 

https",2020-04-28 19:06:00,"3,043",785,160,realDonaldTrump,1,Coronavirus,1,,
thereal_jassi,Jaswinder kaur,https://twitter.com/TheReal_Jassi/status/1255314331098648578,"""Agar Lockdown proper way me bdta hai to shayd ham logo ki mental health ke sth khilvad krege...sath hi na jane kitane log suicide kr dege..we have to save life in every circumstances.
#Corona""",2020-04-28 18:53:00,6,2,0,,0,Corona,1,,
sukanya_anchor,sukanya singh,https://twitter.com/Sukanya_Anchor/status/1255318274151153665,"""There are all kind of people in every religion 
If we talk about Indian Muslim let's share 2 picture
1. #IndianMuslims attacking Policeman 
2.#IndianMuslims lift the bier of Ramesh who died due to illness in UP.
#WednesdayWisdom
So let's stop judging the entire community #corona… https",2020-04-28 19:09:00,23,4,4,,0,IndianMuslims | IndianMuslims | WednesdayWisdom | corona,4,,https://pbs.twimg.com/media/EWvJTF4XkAQmjF9.jpg | https://pbs.twimg.com/media/EWvJTW7WsAADxOd.jpg | https://pbs.twimg.com/media/EWvJTlcXgAEluNO.jpg
_djolodo,Calabar olodo,https://twitter.com/_Djolodo/status/1255167326783242241,"""So We saying that after #4thmay things will resume relatively back to normal, schools will resume?  No more work from home? Like We will just walk around like everything is normal. 
WHY DO THIS NOW THAT THE NUMBERS ON THE HIGH.. AND ON A RAPID INCREASE 
#CACOVID | #corona… https",2020-04-28 09:09:00,35,10,6,,0,4thmay | CACOVID | corona,3,,https://pbs.twimg.com/media/EWtAB36WsAAJAGp.jpg
lmkmoviemaniac,Kaushik LM,https://twitter.com/LMKMovieManiac/status/1255346914603794435,"""Total #Corona #COVID19 confirmed cases in India crosses 31300, as on April 29 mrng

Current active cases 22629

Recovered (discharged) 7695

Total deaths 1007

Data",2020-04-28 21:03:00,307,27,2,,0,Corona | COVID19,2,,
rajivmehta19,Rajiv Mehta,https://twitter.com/rajivmehta19/status/1255164276966219776,"""Maruti factory at Gurgaon , this is going to be the new normal now across all factories #COVID19 #maruti #corona… """,2020-04-28 08:57:00,150,89,12,,0,COVID19 | maruti | corona,3,,
nillkool9, ∱∪ℕκγβαβα ,https://twitter.com/nillkool9/status/1255190249774501890,"""Waah re flying Jhaadu ... 🤣🤣
#ufo2020 
#Corona 
#DelhiGovtReleaseGrants… """,2020-04-28 10:40:00,13,9,0,,0,ufo2020 | Corona | DelhiGovtReleas,3,,
royalsfootball1,Bleckley Co. Football,https://twitter.com/RoyalsFootball1/status/1255201554866544642,"""AJ Williams 
Rising 10th Grader 
Out working the #CORONA
GREAT JOB AJ!… """,2020-04-28 11:25:00,11,2,0,,0,CORONA,1,,
kizzdaniel_sec,S.U.R.P.R.I.S.E,https://twitter.com/Kizzdaniel_sec/status/1255140838004240385,"""Imagine Going to The mountain to pray and you end up Getting another infection 
TB Joshua #Corona… """,2020-04-28 07:24:00,7,2,0,,0,Corona,1,,https://pbs.twimg.com/media/EWsn6QBUYAAQkqy.jpg
priyankkharge,Priyank Kharge / ಪ್ರಿಯಾಂಕ್ ಖರ್ಗೆ,https://twitter.com/PriyankKharge/status/1255328604856160257,"""Handed over an additional 10 thermal scanners to taluk health officials for better & quicker checking of possible symptoms of #Corona 
There have been complaints that the Chinese scanners show faulty readings too frequently creating panic.… https",2020-04-28 19:50:00,112,19,5,,0,Corona,1,,https://pbs.twimg.com/media/EWvSsxRWsAA-13J.jpg | https://pbs.twimg.com/media/EWvSsxXX0AEdkKZ.jpg
amithpanchal,Amit Panchal,https://twitter.com/AmitHPanchal/status/1255161858820124672,"""In #Mizoram, 95 year old Mrs Nghakliani of Dawrpui, Aizawl donated dozens of face masks, stitched by herself, to local Hospital. She also donated one month’s family pension for #Corona relief. #COVID19 

#IndiaFightsCorona… https",2020-04-28 08:48:00,509,96,6,,0,Mizoram | Corona | COVID19 | IndiaFightsCoro,4,,https://pbs.twimg.com/media/EWs7DKxUMAA4OX6.jpg
ranjangogoirs,Ranjan Gogoi,https://twitter.com/Ranjangogoirs/status/1255222997062955008,"""Some Hindus are so stupid that even when they saw ""Tablighi Jamaat"" change to ""Single Source/""Special Operations"", they are falling for the plasma propaganda.

Ignoring the fact that ""Single Source"" is suddenly ""Tablighi Jamaat"" again.

India media have spine atleast.
#Corona… https",2020-04-28 12:50:00,114,24,5,,0,Corona,1,,https://pbs.twimg.com/media/EWtyaBFXQAg5oZw.jpg
lmkmoviemaniac,Kaushik LM,https://twitter.com/LMKMovieManiac/status/1255123887781638151,"""#Erode becomes a #Corona free district in TN 👌

#Krishnagiri is a district without any #Corona cases till date👌

#Chennai continues to be the worst hit district in the state, accounting for majority of the daily new cases and total cases! 

#TN #TamilNadu""",2020-04-28 06:17:00,"1,434",182,10,,0,Erode | Corona | Krishnagiri | Corona | Chennai | TN | TamilNadu,7,,
nafas_far,Nafiseh,https://twitter.com/nafas_far/status/1255264978065637377,"""The world has not had good days for a long time
Poverty,war,killing,injustice...
 and Today, #Corona
 tomorrow,it is not clear what will happen to the people of the world
The promised savior must be called to be the end for all these pains and problem
Let's pray for coming savior… https",2020-04-28 15:37:00,6,2,0,,0,Corona,1,,https://pbs.twimg.com/media/EWuYyubX0AgRFxE.jpg
timkennedymma,Tim Kennedy,https://twitter.com/TimKennedyMMA/status/1255300270348742657,"""When you want to boogaloo but you still have a bunch of honey-do’s to do. #covid #corona #covid_19 #coronavirus #iwantedanapocalypsenotapandemic… https",2020-04-28 17:58:00,926,88,28,,0,covid | corona | covid_19 | coronavirus | iwantedanapocal,5,,
capratikkarpe,Pratik Karpe,https://twitter.com/CAPratikKarpe/status/1255358507563573250,"""Now @ShivSena Leader from Mumbai comes out public raising issues about quarantine centres

Questions CM @OfficeofUT @AUThackeray State Govt, BMC on lack of facilities & failure 

Interrogating #ArnabGoswami more imp than fighting #Corona?

#MahaEmergency 

https",2020-04-28 21:49:00,73,56,1,ShivSena | OfficeofUT | AUThackeray,3,ArnabGoswami | Corona | MahaEmergency,3,,https://pbs.twimg.com/profile_images/1232979248303853568/NkGB7bZr_normal.jpg
er_sandhya,"Er. Sandhya Kandula, DEE, R&B,Mahabubnagar",https://twitter.com/er_sandhya/status/1255125410217590784,"""Wen ramdaan month started our district shifted to green zone.
Lets pray,by the time of Eid our whole country turns to coronafree
#corona… https",2020-04-28 06:23:00,13,3,1,,0,corona,1,,https://pbs.twimg.com/media/EWsZ5VxU8AI65QT.jpg
cnnphilippines,CNN Philippines,https://twitter.com/cnnphilippines/status/1255364490910105608,"""There are 73 new cases of COVID-19 in Cebu, including one patient in Bantayan town— the province’s northernmost island https",2020-04-28 22:13:00,,1,0,,0,,0,,
